,content,tokens_final,cluster,action_cluster
0,아니 이해안가는게 하이마트같은 양판점은 가격이 싼 부품을 쓴다는데 그 똑같은 부품을 낮은 가격으로 만드는게 더 힘든거아닌가?,"['이해', '하이마트', '양판점', '가격', '싸다', '부품', '쓰다', '똑같다', '부품', '낮다', '가격', '힘들다']",4,1
1,솔직히 말씀드리면 내 현금을 장기간 10년이상 묶어놔야하는데 그 기간동안 화폐가치가 많이 하락하게 되서 추천드리지 않습니다.,"['말씀', '드리다', '현금', '장기간', '이상', '묶다', '기간', '동안', '화폐', '가치', '하락', '추천', '드리다']",4,1
2,​ -v4y 장기전으로. 생각했을땐 윈하는 제품을 오래동안 사용하는게 좋은거 같습니다 ㅡㅡㅋ 매달 나가는거보단 일시불로 ㄱ산하고 펹안하게 사용하는게 심리적으로 좋지 않나 생각합니다,"['장기전', '생각', '제품', '오래', '동안', '좋다', '나가다', '일시불', '사다', '심리', '좋다', '생각']",4,1
3,나도 이 생각했었는데.. 맞구나.. 이러니 많이 사면 백화점이 싸다고 착각들을 하는듯... 애초에 가격을 높게 책정해놓고 캐쉬백 카드할인 상품권 증정품 막 주니까 그게 이득이라고 착각함...,"['생각', '맞다', '이러다', '사다', '백화점', '싸다', '착각', '애초', '가격', '높다', '책정', '캐쉬', '카드', '할인', '상품', '증정', '이득', '착각']",4,1
4,지금 2025년에 가전제품을 온라인에서 사도 되냐란 질문을 하디니,"['가전제품', '온라인', '사다', '질문']",4,1
5,그냥 물어보고 사는게 훨씬 좋지 않을까 싶네요,"['사다', '좋다']",4,1
6,감사합니다! 혹시 네이버도 믿을만 한가요?.?,"['감사', '네이버']",4,3
7,절대 똑같지않습니다. 부품들 메이커부터 달라집니다.,"['똑같다', '부품', '메이커', '달라지다']",4,3
8,네이버는 판매자가 너무 다양해서 잘보셔야해여,"['네이버', '판매자', '다양']",4,3
9,혼자 이해를 못하고 있으면서 댓글은 정성스럽게 달아놨네ㅋㅋ,"['이해', '댓글', '정성', '달다']",4,4
10,결론부터 말한다면서 삐처리하는건머임?,"['결론', '처리']",4,2
11,스펙표를 무엇을 주의깊게봐야하는지 알려주시면 감사하겟어요 ㅠㅠ,"['스펙', '주의', '깊다', '알리다', '감사']",4,3
12,아 정말 나에게 너무나 도움되고 절실한 영상! 너무나 고마워요❤❤❤,"['도움', '영상']",4,3
13,결론부터 말해준다하고 왜 묵음처리하냐,"['결론', '묵다', '처리']",4,2
14,"​ -IT제품리뷰 혹시 아직도 댓글을 달아주실지 모르겠네요. 트레이더스, 코스트코에서도 엘지 삼성 제품 판매를 하는데.. 인터넷과 비교하면 어떨까요? 구매 제품은 세탁기 1 건조기 1 식세기 2 청소기 1 인덕션 1 이정도입니다.","['제품', '리뷰', '댓글', '달다', '트레이더', '스다', '코스트코', '엘지', '삼성', '제품', '판매', '인터넷', '비교', '구매', '제품', '세탁기', '건조기', '세다', '청소기', '인덕션']",4,4
15,"아니, 소비자한테 동일 모델로 장난치지 말아야죠.","['소비자', '동일', '모델', '장난치다']",4,3
16,굳이 모험을 하지 않으시는 걸 추천드려요~!,"['모험', '추천', '드리다']",4,3
17,와 진짜 좋은 정보 감사드립니다 ~! 혼수 사는데 궁금한 점을 시원하게 말씀해주셔서 정말 편하네요 ! 감사해용,"['좋다', '정보', '감사', '드리다', '혼수', '사다', '말씀', '편하다', '감사']",4,3
18,쉽게생각해 벤츠에 썬루프옵션빼면 벤츠아니니? 이게 답,"['생각', '벤츠', '루프', '옵션', '빼다', '벤츠']",4,4
19,부럽습니다 ㅜ 다품을 구매하시면 혼수랑 1프로 정도 차이날꺼에요 큰 차이 없으니 걱정하지 않으셔도 됩니다.,"['구매', '혼수', '차이', '크다', '차이', '걱정']",4,3
20,거긴 인건비.매장비용이 나가니까 더비쌀듯,"['인건비', '매장', '비용', '나가다', '비싸다']",4,4
21,제 이전 영상 보고 오셨나요 말씀하신 것에 전적으로 동의합니다 ㅎㅎ,"['이전', '영상', '말씀', '전적', '동의']",4,3
22,#NAME?,"['제품', '리뷰', '사우', '입사', '선배', '자리', '하프셖나']",4,4
23,알고리즘은 위대하네요 도움이 되었다니 다행입니다 ㅎㅎ 왜 그냥 나오셨어요 ㅎㅎ 설명 듣는건 돈 안들어요~,"['알고리즘', '도움', '다행', '나오다', '설명', '들다']",4,3
24,#NAME?,"['제품', '리뷰', '기능', '설명', '차이점', '메모', '나오다', '백화점', '고가', '라인', '구매', '예정', '느낌', '들다']",4,2
25,#NAME?,['매장'],4,4
26,돈주고 입주자톡에 홍보해달라하시는분도 계심,"['입주자', '홍보', '계시다']",4,2
27,헐~박람해갔는데 다른데보다싸다고막하든데,"['박', '싸다']",4,4
28,매장 임 대료.판매직원 수당 차이죠.14년에 엘지 판매 직원한테 직접 들었어요😅,"['매장', '판매', '직원', '수당', '차이', '엘지', '판매', '직원']",4,1
29,혹시 신혼부부할인이라고 또 따로있었나요?,"['신혼', '부부', '할인']",4,1
30,맞아요. 개인계좌 거래는 진짜 위험합니다. 잘 해결되신거죠?,"['맞다', '개인', '계좌', '거래', '위험', '해결']",4,1
31,판매자가 양아치네요 실제 그방법이 제일 싸요.. 편법이긴합니다만..,"['판매자', '양아치', '실제', '방법', '싸다', '편법']",4,2
32,엽전인간들은 만족할수없는 독특한인간들이다,"['엽전', '인간', '만족', '독특', '인간']",4,3
33,ㅋㅋ 진짜 이럼 난 오늘 베스트샵에서 거의 직원한테 혼나고 옴,"['이러다', '오늘', '베스트', '직원', '혼나다']",4,4
34,오늘 대명장 명찰달고 있는 사람한테서 거의 멸시의 눈빛 받고 왔어요. 말씀하신게 맞는듯. 어휴,"['명장', '명찰', '달다', '사람', '멸시', '눈빛', '말씀', '맞다']",4,1
35,하이마트는 명장이라는 직책이 없답니다~!,"['하이마트', '명장', '직책']",4,1
36,혹시 어디서 구매하셨는지 여쭤봐도 될까요? 저도 혼수준비중이라서요.,"['구매', '여쭈다', '혼수', '준비']",4,1
37,부품다르게 만드는 공정비용이 더비싸요…,"['부품', '다르다', '공정', '비용', '비싸다']",4,4
38,명장님 왜 퇴사하셨는지 스토리도 귱금하네용,"['명장', '퇴사', '스토리', '귱금']",4,4
39,대명장 명장들이너무많아서 추천해주실수는없을까여?,"['명장', '명장', '많다', '추천']",4,4
40,기회가 된다면 자세한 내용은 컨텐츠로 만들어볼게요!ㅎㅎ,"['기회', '내용', '컨텐츠', '만들다']",4,3
41,그러면 직원쓰지말고 디피만 해놓지 ㅜ 가서 태도보고 현장구매 할 생각이 싹 사라짐,"['직원', '쓰다', '디피', '현장', '구매', '생각', '사라지다']",4,1
42,옷볼때 찝쩍거리는애들보단 궁금한거잇으면 물어보면되지,['궁금하다'],4,4
43,이런 ㅅㄲ는 대체 왜 태어나서 악플이나 쳐 달고 다니게 놔두는걸까,"['늘다', '태어나다', '악플', '치다', '달다', '다니다', '놔두다']",4,1
44,전국에 저도 모르는분들이 많아서 어려울거같아요🧐맘같아선 저를 추천하고 싶네요..ㅎㅎ,"['전국', '많다', '추천']",4,4
45,혹시 할인혜택을 받고 신혼부부 혜택도 중복적용 되나요?,"['할인', '혜택', '신혼부부', '혜택', '중복', '적용']",4,1
46,네이버 카페 10월달 정보가 안올라와요? 언제 올려주시나요?,"['네이버', '카페', '정보', '올라오다', '올리다']",4,3
47,안녕하세요 중복되는 경우가 많습니다 청첩장이나 웨딩계약서 지참해서 발품파셔요 ^^,"['안녕', '중복', '많다', '청첩장', '웨딩', '계약서', '지참', '발품', '파']",4,2
48,배달도 안됐는데 반품배송비를 받는건 사기 아닌가요? 이건 신고감인데,"['배달', '반품', '배송비', '사기', '신고']",4,4
49,대박...우연히 알고 가요. 완전 중요하네요!,['중요'],4,4
50,그냥 구매대행은 안사는게 맞는것 같습니다 한달 걸리더라고요,"['구매', '대행', '사다', '맞다', '걸리다']",4,2
51,오 윤기다 ㅋㅋ 신기하네 덕분에 사기안당했어,"['윤기', '신기하다', '덕분', '사기', '당하다']",4,3
52,네이버멤버쉽이 티빙은 예전에 빠졌네요.,"['네이버', '멤버', '티빙', '예전', '빠지다']",4,4
53,비스프크 1도어 글램화이트 우좌 손잡이 구매 하고 싶은데 단종 됏을까요?,"['비스프크', '도어', '글램', '화이트', '손잡이', '구매', '단종']",4,2
54,그거 샵에서 비싼 지네들 제품 팔려고 구라치는거임.,"['비싸다', '제품', '팔다', '구라', '치다']",4,2
55,"오프가 비싼이유 1.대리점 월세(땅값,유지보수비) 2.재고비(창고비) 3.직원 인건비 4.실사(직접 보고 만져볼수있음) 5.호갱(직원이 영업할 수 있음) 등으로 비싼거임","['오프', '비싸다', '이유', '대리점', '월세', '땅값', '유지', '보수비', '고비', '고비', '직원', '인건비', '실사', '만지다', '호갱', '직원', '영업', '비싸다']",4,1
56,세탁기 하청 생산직이였읍니다 부품 등급 나눠서 공급받아서 조립했고 분류해서 나갔습니다,"['세탁기', '하청', '생산', '부품', '등급', '나누다', '공급', '조립', '분류', '나가다']",4,4
57,:57 저에게 중요한 포인트입니다!,"['중요', '포인트']",4,4
58,그냥 냅둬유 그런 호갱들도 있어야 백화점도 먹고 살죠,"['냅두다', '호갱', '백화점', '먹다', '살다']",4,2
59,중간단계모델을 보여주세요^^ 꿀팁 감사합니다.,"['중간', '단계', '모델', '보이다', '감사']",4,3
60,좋은 정보 너무 감사해요! 처음 알아보는데 이렇게 깔끔한 정리 영상이 없어요~~,"['좋다', '정보', '감사', '알아보다', '정리', '영상']",4,3
61,하이마트 웨딩과 오픈 혜택 동시에 해줌,"['하이마트', '웨딩', '오픈', '혜택', '동시']",4,1
62,"와~ 수없이 검색했지만 대부분 뒤에선 광고,홍보,뭔가 목적이 있는 영상들이라 진짜 힘들고 지치고 있었는데, 단비와도 같은, 실질적인 꿀팁 영상 엄청 도움 됩니다 진짜 감사해요~^^","['검색', '부분', '서다', '광고', '홍보', '목적', '영상', '힘들다', '지치다', '단비', '실질', '영상', '도움', '감사']",4,1
63,어떤 제품들 사셨는지 알수있을까요?:),"['제품', '사다']",4,4
64,안녕하세요 작누댁님 :) 벤볼릭 디퓨저입니다. 며칠 전 메일 드렸는데 혹시 스팸함으로 들어갔을까 봐 확인 요청드립니다.,"['안녕', '작다', '디퓨저', '며칠', '메일', '드리다', '스팸', '들어가다', '확인', '요청', '드리다']",4,3
65,동일제품 인데 가격이 그렇게 차이나나요?,"['동일', '제품', '가격', '차이']",4,3
66,그럼 발품 팔지 말고 그냥 아무데서나 사라는건가요 ㅋㅋ 무슨 현직 직원이신데요 ㅋㅋ,"['발품', '팔다', '사다', '현직', '직원']",4,2
67,개인 대리점은 되도록 피하셔야 해요.,"['개인', '대리점', '피하다']",4,1
68,​ -r4x 누가 맞는거임...? ㅠ,['맞다'],4,4
69,얼마전에 개인대리점에서 신혼부부 지원금으로 낚아 채서 사기 쳤던 뉴스 나오던데요,"['얼마', '개인', '대리점', '신혼부부', '지원금', '낚다', '채', '사기', '치다', '뉴스', '나오다']",4,1
70,​ -t9t 그건 현금 결제 유도한거고,"['현금', '결제', '유도']",4,1
71,감사해요~^^ 이쯤이면 남편분이 콘텐츠 하나 찍으셔야😂,"['감사', '남편', '콘텐츠', '찍다']",4,3
72,"제가간 엘지매장은 품목할인 4,7,10이라던데요ㅠ","['엘지', '매장', '품목', '할인']",4,2
73,안녕하세요 혹시 에어드레서는 어떤 모델 사셨나요? 상품 찾기가 어려운 1인입니다 ㅜㅜ,"['안녕', '에어', '드레서', '모델', '사다', '상품', '찾다']",4,4
74,12월에 입주하는데 넘 도움됐어요 꿀팁감사!,"['입주', '도움', '감사']",4,3
75,엘지는 369 순인데 삼섬은 35811 순으로 품목할인이 좀 다를수있어요,"['엘지', '품목', '할인', '다르다']",4,2
76,내년 4월 딸 결혼식을 앞둔 엄마에요~ 똑띡이 작누님 덕분에 딸 고민이 줄어들것같아요^^ 귀에 쏙쏙 들어오는 정보 감사드리며 두분 행복하세용🩷 축하드립니다🎉,"['내년', '결혼식', '앞두다', '엄마', '똑띡이', '누님', '덕분', '고민', '줄어들다', '들어오다', '정보', '감사', '드리다', '행복', '축하', '드리다']",4,3
77,작누님 너무 감사~~~ 좋은 내용 많은 도움 되엇어요~~~~,"['누님', '감사', '좋다', '내용', '많다', '도움']",4,3
78,작누님이랑 예랑이분 모두 엄청 똑부려져서 정말 잘 사실것 같아요 ! 😮❤😊,"['누님', '예랑이', '부리', '사다']",4,4
79,작은누님 항상 행복 한일들만 가득하길 응원하겠습니다,"['작다', '누님', '행복', '응원']",4,3
80,쩌기 어디 골짜기...있어요.....ㅋㅋㅠㅠㅠㅠㅠ,"['쩌기', '골짜기']",4,4
81,요즘 구독할인에 서비스 케어 2년 해주던데 이건 어때요?,"['요즘', '구독', '할인', '서비스', '케어']",4,2
82,유익한 정보 올려주셔서 감사드립니다 😊,"['유익', '정보', '올리다', '감사', '드리다']",4,3
83,설명잘해주셔서 귀에 쏙쏙 들어오네요ㅎㅎ,"['설명', '들어오다']",4,3
84,ㅎㅎ 가격이 제일이라는 믿음에 그런 것 같아요 가격도 중요하지만 제품이 먼저인데 그걸 생각하기 쉽지 않죠,"['가격', '제일', '믿음', '가격', '중요', '제품', '먼저', '생각']",4,1
85,흠... 모델마다 달라요 근데 곰홈에서 사는 비중이 체감상 점점 느는 것 같아요,"['모델', '다르다', '사다', '비중', '체감', '늘다']",4,4
86,너무 유용하네요❤ 구독하고 올라온 영상 정주행갑니다ㅋㅋ,"['유용', '구독', '올라오다', '영상', '정주']",4,4
87,지나가다가 들렀는데 설명 너무 깔끔하게 잘 하세요 구독 누르고 갑니다😂😂,"['지나가다', '들르다', '설명', '깔끔', '구독', '누르다']",4,3
88,귀국준비하는데 도움이 많이 되었습니다. 감사드려요,"['귀국', '준비', '도움', '감사', '드리다']",4,3
89,쿠팡에서비스코프 가성비 보는데요 패널 선택이 별로 없던데 고가제품만 패널컬러 선택 가능한가요?,"['쿠팡', '비스', '가성비', '패널', '선택', '고가', '제품', '패널', '컬러', '선택', '가능']",4,2
90,네 다녀와보세요 ㅎㅎ 입주혜택이 생각보다 그렇게 크지 않아요,"['다녀오다', '입주', '혜택', '생각', '크다']",4,1
91,상품권 구매건에 바로 적용할 수 있는데 그걸 안해주는 애들이 있더라구요,"['상품', '구매', '적용']",4,2
92,#NAME?,"['제품', '리뷰']",4,4
93,이걸 이사하기 전에 봤어야 되는건데..ㅜㅜ,['이사'],4,4
94,전시품 자체를 그렇게 추천하지 않아요...,"['전시품', '자체', '추천']",4,3
95,#NAME?,"['제품', '리뷰', '이마트', '행사', '백화점', '상품', '웨딩', '마일리지', '혜택', '크다']",4,1
96,자세하고 상세한 리뷰 감사드립니다! 고생하셨습니다!,"['리뷰', '감사', '드리다', '고생']",4,3
97,-IT제품리뷰 정말 감사합니다 그럼 아무 매장가서 사도 되겠네요~,"['제품', '리뷰', '감사', '매장', '사다']",4,4
98,음악은 안넣는게 집중이 잘될거 같아요,"['음악', '넣다', '집중']",4,3
99,크 혼수 준비중인데 너무 도움되었어요!,"['크다', '혼수', '준비', '도움']",4,3
100,질문자의 의도를 파악하지 못했습니다!,"['질문자', '의도', '파악']",4,4
101,#NAME?,"['제품', '리뷰', '방문', '상담', '답변', '감사', '드리다']",4,3
102,안녕하세요~! 저도 진행해보고 싶은데 대상을 찾는게 어렵네요~!,"['안녕', '진행', '대상', '찾다']",4,2
103,좋게봐주셔서 감사합니다! 하이마트가 풀어내야할 과제를 딱 꼬집어주셨네요,"['좋다', '감사', '하이마트', '풀어내다', '과제']",4,1
104,와... 이런 분이 없는데.... 다들 정신을 못차리네요,"['정신', '차리다']",4,3
105,이사는 2025년 2월인데 언제쯤 가전을 알아보는게 좋을까요?,"['이사', '가전', '알아보다', '좋다']",4,1
106,소름 돋게 빠른 곳이죠...,"['소름', '빠르다']",4,2
107,그런 경우라고 하시면 이월상품 판매하는 채널도 있더라구요 거긴 아직 파보질 못해서 자세히는 모르겠습니다,"['이월', '상품', '판매', '채널', '파']",4,1
108,#NAME?,"['제품', '리뷰', '검색', '비교']",4,2
109,#NAME?,"['제품', '리뷰', '상담', '사장', '개인', '운영', '혜택', '드리다', '이유']",4,4
110,#NAME?,"['전국', '연락']",4,4
111,정말 설명 잘하시네요.올해말에 새아파트 입주인데 감사드려용,"['설명', '올해', '아파트', '입주', '감사', '드리다']",4,3
112,#NAME?,"['제품', '리뷰', '냉장고', '세탁기', '구매', '오프라인', '매장', '들르다', '견적', '온라인', '구매']",4,2
113,#NAME?,"['제품', '리뷰', '예산', '라인', '내다', '현대', '진열', '상품', '비싸다', '견적', '엄두']",4,2
114,하..... 제가 그거 겪어봤잖아요... 말은 하되 실망하시지 마세요... 지인이라고 사게 줄 수 있는 구조가 아니거든요,"['겪다', '실망', '지인', '사다', '구조']",4,2
115,매우 깔끔하게 정리해주시고 설명해주시네요 좋은 정보 얻어갑니다!,"['정리', '설명', '좋다', '정보']",4,3
116,백화점에서도 페이백으로 받는 포인트는 바로 못쓰는거죠?,"['백화점', '페이', '포인트', '쓰다']",4,1
117,"-IT제품리뷰 오...복지몰 임직원입니다! 그럼 백화점과 비교해봐야겠네요! 식세기, 세탁기, 인덕션, 오븐, 등등 구매할 것 같아요!","['제품', '리뷰', '복지', '임직원', '백화점', '비교', '세기', '세탁기', '인덕션', '오븐', '구매']",4,2
118,임대료 비싼데는 비싸게 팔수밖에 없어요!,"['임대료', '비싸다', '비싸다', '팔다']",4,4
119,와 진짜 댓글 잘 안남기는데 알아듣기 쉽고 말씀톤도 편안하게 해주시고 불필요한 내용 전혀 안넣으시고 귀에 쏙쏙 많은 도움되었어요 짱이세요!^^,"['댓글', '남기다', '말씀', '편안', '필요', '내용', '넣다', '많다', '도움', '최고']",4,3
120,우연히 보게되었는데 유익한 영상이네요 설명도 넘 잘해주셔서 귀에 쏙쏙~,"['유익', '영상', '설명']",4,3
121,-IT제품리뷰 답변 감사합니다~ 구입에 도움이 되겠습니다^^,"['제품', '리뷰', '답변', '감사', '구입', '도움']",4,3
122,입주민이요? 저희 아파트 사시나요..? 많이 다니셔야해요 시기마다 제품마다 달라서요 ㅜ,"['입주민', '아파트', '사다', '다니다', '시기', '제품', '다르다']",4,2
123,베지터라고 말씀하시는것같아서 드래곤볼이 생각나네요 ㅋㅋ 잘 듣고갑니다,"['베지터', '말씀', '드래곤', '생각나다']",4,3
124,5개 사려고 방문했는데 1천만원 이하로 구매하려면 할인이 그리 높지 않더라구요.,"['사다', '방문', '이하', '구매', '할인', '높다']",4,2
125,"카드를 만들라거나 상조에 가입하라는건 뭔지,,, 알려주세요,,,","['카드', '만들다', '상조', '가입', '알리다']",4,4
126,전에 가보니 다 진열로 파는것 같더라구요,"['진열', '파']",4,2
127,#NAME?,"['제품', '리뷰', '감사', '브랜드', '통일', '냉장고', '온라인', '나머지', '묶다', '오프라인']",4,2
