,content,vector,cluster,tokens_final,text_for_tfidf,action_cluster
0,오프라인 혜택이 더 좋아졌는지는 어떻게 아는건가여? 배송 2달전 구매 후 매주 그 구매한 직원에게 연락하나요? 아니면 매주 매잔 방문하나요?,"[ 0.00265884  0.01361084 -0.03704834 ... -0.04019165 -0.04711914
 -0.01615906]",2,"['오프라인', '혜택', '좋다', '배송', '구매', '구매', '직원', '연락', '방문']",오프라인 혜택 좋다 배송 구매 구매 직원 연락 방문,0
1,온라인은 12월에사도 되나요..?ㅠㅠ,"[ 0.00923157  0.0171814  -0.02264404 ... -0.04211426 -0.04394531
  0.0031395 ]",2,"['온라인', '사다']",온라인 사다,1
2,"쇼룸이 280개이상으로 많이 있는거고 주문은 온라인으로 합니다, 딜러가 없어요","[-0.00151348 -0.00645447 -0.03411865 ... -0.03302002 -0.04833984
  0.00377274]",2,"['이상', '주문', '온라인', '딜러']",이상 주문 온라인 딜러,1
3,넵 온라인은 시기를 크게 타지 않아욥,"[ 0.00764465  0.01316833 -0.00826263 ... -0.03048706 -0.02096558
 -0.01702881]",2,"['온라인', '시기', '크다', '타다']",온라인 시기 크다 타다,0
4,캐시백 어쩌고 할인쿠폰 어쩌고하는데 결론은 온라인 쿠팡이 더 쌉니다.,"[-0.00017571  0.03186035 -0.01942444 ... -0.02584839 -0.03634644
 -0.00554276]",2,"['캐시백', '어쩌다', '할인', '쿠폰', '어쩌다', '결론', '온라인', '쿠팡', '싸다']",캐시백 어쩌다 할인 쿠폰 어쩌다 결론 온라인 쿠팡 싸다,1
5,하...넵... 사실 이해는 되요 안그러면 온라인에 비해서 이길 수 있는 방법이 없거든요... 각자 설명에서 더 납득이 되는 것이 뭔지 생각해보시면 좋을 것 같아요~!,"[ 0.00185204  0.00999451 -0.02197266 ... -0.02580261 -0.02429199
 -0.0135498 ]",2,"['이해', '그러다', '온라인', '비하', '이기다', '방법', '설명', '납득', '생각', '좋다']",이해 그러다 온라인 비하 이기다 방법 설명 납득 생각 좋다,0
6,그냥 온라인서 사세요 ... 오프라인은 일반 사업자 가게세 유지비 직원월급 등등 판매가격에 다 녹아잇는거임... 젤 한심한게 전기먹은 전시품 인터넷가보다 비싸게 사고 대리점 신뢰하는 바보들임 As걱정? 오프나 온라인이나 as 문제 전혀 없어요~,"[ 0.01260376  0.00534439 -0.02963257 ... -0.03585815 -0.03546143
  0.01511383]",2,"['온라인', '사다', '오프라인', '일반', '사업자', '가게', '유지비', '직원', '월급', '판매', '가격', '녹다', '전기', '먹다', '전시품', '인터넷', '비싸다', '사다', '대리점', '신뢰', '바보', '걱정', '오프', '온라인', '문제']",온라인 사다 오프라인 일반 사업자 가게 유지비 직원 월급 판매 가격 녹다 전기 먹다 전시품 인터넷 비싸다 사다 대리점 신뢰 바보 걱정 오프 온라인 문제,2
7,요새는 온라인이 더 좋습니다... 2~3개까지는 온라인이고...혼수 이사같은 경우는 로드샵으로,"[ 0.01725769  0.02412415 -0.02175903 ... -0.0513916  -0.02787781
  0.01855469]",2,"['요새', '온라인', '좋다', '온라인', '혼수', '이사', '로드']",요새 온라인 좋다 온라인 혼수 이사 로드,1
8,아휴 기억납니다. 맞아요 보통 매장에서 사면 한개의 브랜드로 통일할 수 밖에 없죠 똑똑한 소비에 박수를 보내드립니다!,"[ 0.0140152   0.01905823 -0.02755737 ... -0.02278137 -0.0552063
  0.01028442]",2,"['기억나다', '맞다', '매장', '사다', '브랜드', '통일', '똑똑하다', '소비', '박수', '보내다']",기억나다 맞다 매장 사다 브랜드 통일 똑똑하다 소비 박수 보내다,1
9,진열제품 새거받는걸로 혹 영수증처리없이 현금으로 샙쌥이 방법은 많음. 저분들 본사마감가 빼고 털어야할 금액이나 재고로 가지고계신거 은밀하게 제안하시면 인터넷 최저가보다 싸게 가능해요^^ 끝.,"[ 0.00387764  0.01846313 -0.01157379 ... -0.04116821 -0.03903198
  0.00361633]",2,"['진열', '제품', '영수증', '처리', '현금', '샙쌥', '방법', '많다', '본사', '마감', '빼다', '털다', '금액', '재다', '가지다', '제안', '인터넷', '최저', '싸다', '가능']",진열 제품 영수증 처리 현금 샙쌥 방법 많다 본사 마감 빼다 털다 금액 재다 가지다 제안 인터넷 최저 싸다 가능,2
